Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Receive_Samples,Chrome 88.0.4324.104,,,2021-02-01 20:37:01,2021-02-01 20:38:05,1m - 3.281s,PASSED
,,,,,,,
Test Cases/Login,Chrome 88.0.4324.104,,,2021-02-01 20:37:02,2021-02-01 20:37:36,33.615s,PASSED
"openBrowser(""http://10.2.1.16:8080/Okazaki/"")",Chrome 88.0.4324.104,,,2021-02-01 20:37:03,2021-02-01 20:37:09,6.650s,PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-02-01 20:37:09,2021-02-01 20:37:11,2.190s,PASSED
"setText(findTestObject(""Login/Page_Avera Login/txt_username""), ""dperez"")",Chrome 88.0.4324.104,,,2021-02-01 20:37:11,2021-02-01 20:37:12,0.792s,PASSED
"setEncryptedText(findTestObject(""Login/Page_Avera Login/txt_password""), ""iGDxf8hSRT4="")",Chrome 88.0.4324.104,,,2021-02-01 20:37:12,2021-02-01 20:37:13,0.514s,PASSED
"click(findTestObject(""Login/Page_Avera Login/btn_login""))",Chrome 88.0.4324.104,,,2021-02-01 20:37:13,2021-02-01 20:37:36,23.101s,PASSED
,,,,,,,
Test Cases/Receive_Samples,Chrome 88.0.4324.104,,,2021-02-01 20:37:36,2021-02-01 20:38:05,28.629s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/span_samplemanagement""))",Chrome 88.0.4324.104,,,2021-02-01 20:37:36,2021-02-01 20:37:37,0.849s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/span_receivesamples""))",Chrome 88.0.4324.104,,,2021-02-01 20:37:37,2021-02-01 20:37:38,0.527s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/div_option""))",Chrome 88.0.4324.104,,,2021-02-01 20:37:38,2021-02-01 20:37:44,5.950s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/li_Other""))",Chrome 88.0.4324.104,,,2021-02-01 20:37:44,2021-02-01 20:37:44,0.402s,PASSED
delay(1),Chrome 88.0.4324.104,,,2021-02-01 20:37:44,2021-02-01 20:37:45,1.048s,PASSED
"setText(findTestObject(""Receive Samples/Page_Avera/txt_tube1""), ""IJ8176680700"")",Chrome 88.0.4324.104,,,2021-02-01 20:37:45,2021-02-01 20:37:46,0.753s,PASSED
"scrollToElement(findTestObject(""Receive Samples/Page_Avera/btn_verify""), 10)",Chrome 88.0.4324.104,,,2021-02-01 20:37:46,2021-02-01 20:37:46,0.393s,PASSED
"click(findTestObject(""Receive Samples/Page_Avera/btn_verify""))",Chrome 88.0.4324.104,,,2021-02-01 20:37:46,2021-02-01 20:37:47,0.436s,PASSED
"verifyTextPresent(""Successfully verified task Receive Samples"", false)",Chrome 88.0.4324.104,,,2021-02-01 20:37:47,2021-02-01 20:38:05,17.942s,PASSED
